iter	Logloss
0	0.6624178431
1	0.6352383957
2	0.6136656178
3	0.5925365729
4	0.5744197087
5	0.5591866515
6	0.5444524395
7	0.5315086226
8	0.5208534673
9	0.5122623597
10	0.5005814158
11	0.4934368017
12	0.4870582484
13	0.478710447
14	0.4711334012
15	0.4656005809
16	0.4570908125
17	0.450584935
18	0.4459598187
19	0.4427343263
20	0.4398618725
21	0.4343302998
22	0.4300912963
23	0.4268875617
24	0.4223704267
25	0.4165530882
26	0.4142037831
27	0.4104427975
28	0.4079006847
29	0.4061905078
30	0.4038508088
31	0.4012993521
32	0.3987794491
33	0.3961314211
34	0.3937512322
35	0.3918396781
36	0.3904554897
37	0.3886120207
38	0.3869784217
39	0.3855913392
40	0.3842925902
41	0.3826501397
42	0.3817936995
43	0.3796399618
44	0.3777045767
45	0.3766089853
46	0.3755434045
47	0.3742067989
48	0.3731682069
49	0.3711198502
50	0.369573925
51	0.3684223968
52	0.3670495585
53	0.3658439124
54	0.3648492553
55	0.3639953393
56	0.3632140688
57	0.3618869666
58	0.3609025402
59	0.3595560853
60	0.3587160634
61	0.3582025026
62	0.3573392037
63	0.3562434809
64	0.3553289868
65	0.3542394024
66	0.353480952
67	0.352271905
68	0.3513852198
69	0.3502780501
70	0.3495758371
71	0.3489561787
72	0.3478583649
73	0.3471586316
74	0.3462875795
75	0.3455294136
76	0.3442375609
77	0.3435789809
78	0.3430122914
79	0.3423084853
80	0.3410278931
81	0.3404691733
82	0.3397964337
83	0.3390541287
84	0.3384081466
85	0.3375815101
86	0.3365244812
87	0.3358097486
88	0.3353340177
89	0.3349023983
90	0.3344645762
91	0.3340741496
92	0.3334341443
93	0.3330399884
94	0.3324716911
95	0.3318191187
96	0.3312848423
97	0.3309644983
98	0.3306704122
99	0.3299309105
100	0.329132057
101	0.3286103756
102	0.3280483504
103	0.3276679479
104	0.3273597292
105	0.3266747352
106	0.3259691593
107	0.325599758
108	0.3253103675
109	0.325001685
110	0.3246079854
111	0.3241384408
112	0.3238265452
113	0.3234611566
114	0.3230801368
115	0.3224495099
116	0.3221719479
117	0.3218231227
118	0.3213849179
119	0.3206438736
120	0.3201270115
121	0.3197988616
122	0.3190441376
123	0.3182082293
124	0.3173731251
125	0.3171311979
126	0.3166543644
127	0.3162452804
128	0.3157165632
129	0.3152650501
130	0.3147522378
131	0.3144562365
132	0.3141925983
133	0.3138248608
134	0.3134468531
135	0.3131053518
