iter	Passed	Remaining
0	2	1436
1	5	1351
2	7	1324
3	11	1387
4	13	1370
5	16	1360
6	19	1349
7	21	1337
8	25	1384
9	28	1373
10	30	1363
11	33	1353
12	37	1386
13	39	1383
14	42	1374
15	45	1364
16	47	1357
17	51	1382
18	55	1399
19	63	1529
20	67	1536
21	70	1530
22	73	1524
23	78	1565
24	84	1613
25	91	1670
26	95	1665
27	98	1652
28	102	1658
29	105	1648
30	107	1633
31	111	1626
32	117	1667
33	122	1678
34	125	1673
35	129	1664
36	132	1660
37	137	1672
38	143	1692
39	146	1689
40	150	1682
41	154	1689
42	158	1680
43	161	1672
44	165	1669
45	169	1674
46	172	1659
47	174	1645
48	177	1633
49	180	1627
50	183	1618
51	186	1605
52	188	1593
53	192	1588
54	194	1576
55	197	1565
56	199	1553
57	202	1542
58	205	1538
59	208	1527
60	210	1517
61	213	1508
62	215	1498
63	219	1492
64	221	1483
65	224	1473
66	226	1464
67	229	1459
68	232	1451
69	234	1443
70	237	1434
71	240	1426
72	243	1422
73	246	1417
74	249	1411
75	251	1404
76	254	1396
77	257	1394
78	261	1393
79	264	1387
80	266	1381
81	271	1382
82	275	1386
83	278	1379
84	281	1373
85	284	1369
86	287	1364
87	291	1365
88	294	1360
89	297	1355
90	300	1351
91	303	1344
92	305	1338
93	309	1336
94	312	1330
95	314	1323
96	317	1317
97	319	1310
98	322	1307
99	325	1300
100	327	1294
101	330	1288
102	333	1284
103	335	1279
104	338	1273
105	340	1267
106	343	1261
107	346	1256
108	348	1251
109	351	1245
110	353	1239
111	356	1234
112	359	1230
113	362	1228
114	365	1225
115	368	1220
116	371	1214
117	374	1212
118	377	1207
119	379	1202
120	382	1197
121	385	1193
122	387	1189
123	390	1183
124	392	1178
125	395	1173
126	398	1170
127	401	1166
128	403	1161
129	406	1156
130	408	1151
131	411	1147
132	414	1142
133	416	1137
134	418	1132
135	421	1128
136	424	1123
137	427	1121
138	430	1116
139	432	1112
140	435	1107
141	438	1105
142	440	1100
143	443	1096
144	445	1091
145	448	1087
146	451	1084
147	454	1081
148	457	1077
149	460	1073
150	462	1069
151	465	1065
152	468	1061
153	470	1057
154	473	1053
155	476	1051
156	479	1046
157	481	1042
158	484	1038
159	486	1034
160	489	1030
161	491	1026
162	494	1022
163	496	1017
164	499	1013
165	502	1010
166	504	1006
167	507	1002
168	509	998
169	512	994
170	514	990
171	517	986
172	520	983
173	523	979
174	525	976
175	529	974
176	531	970
177	534	967
178	537	963
179	539	959
180	542	956
181	545	952
182	547	949
183	550	945
184	552	941
185	556	939
186	559	936
187	562	932
188	564	929
